ner_tags,tokens,lnt,lnn
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Facility', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['besonders', 'hotels', 'in', 'wärmeren', 'gebieten', 'haben', 'im', 'freien', 'oft', 'schwimmbecken', 'mit', 'allen', 'möglichen', 'formen,', 'da', 'diese', 'bevorzugt', 'zur', 'erholung,', 'zum', 'spielen', 'und', 'planschen', 'genutzt', 'werden.']",25,25
"['O', 'O', 'O', 'O', 'O', 'O', 'B-Facility', 'I-Facility', 'I-Facility', 'O']","['das', 'unternehmen', 'wurde', 'daraufhin', 'wieder', 'in', 'chantiers', 'de', ""l'atlantique"", 'umbenannt.']",10,10
"['O', 'O', 'B-Facility', 'I-Facility', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['die', 'traditionelle', 'japanische', 'burg', '(japanisch', '城,', 'shiro)', 'war', 'eine', 'große,', 'hauptsächlich', 'aus', 'holz', 'und', 'stein', 'erbaute', 'befestigungsanlage.']",17,17
"['O', 'O', 'O', 'O', 'O', 'B-Facility', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['die', 'new', 'york', 'public', 'library', '(nypl)', 'ist', 'eine', 'der', 'drei', 'öffentlichen', 'bibliotheken', 'in', 'new', 'york', 'city', 'und', 'mit', 'über', '55', 'millionen', 'medien', 'eine', 'der', 'größten', 'bibliotheken', 'der', 'erde.']",28,28
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Facility', 'I-Facility', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['in', 'dem', 'wohnblock', 'befinden', 'sich', '82', 'wohnungen', '(102', 'wohnungen', 'in', '1921),', 'eine', 'ehemalige', 'grundschule,', 'in', 'deren', 'räumlichkeiten', 'seit', '2016', 'das', 'museum', 'het', 'schip', 'untergebracht', 'ist,', 'eine', 'museumswohnung', 'sowie', 'das', 'ehemalige', 'postamt.']",31,31
"['O', 'O', 'O', 'B-Facility', 'O', 'O', 'O', 'O', 'O', 'O']","['2015', 'wurde', 'das', 'rijksmuseum', 'als', 'europäisches', 'museum', 'des', 'jahres', 'ausgezeichnet.']",10,10
"['O', 'B-Facility', 'I-Facility', 'I-Facility', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['die', 'miller', 'brewing', 'company', 'ist', 'die', 'zweitgrößte', 'us-amerikanische', 'brauerei', 'mit', 'sitz', 'in', 'milwaukee.']",13,13
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Facility']","['vom', 'zum', 'mahlwerk', 'synonymen', 'wort', 'mühle', 'stammt', 'die', 'bezeichnung', 'windmühle.']",10,10
"['O', 'B-Facility', 'I-Facility', 'I-Facility', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['ein', 'working', 'men’s', 'club', 'ist', 'eine', 'vereinigung', 'von', 'mitgliedern', 'der', 'arbeiterklasse', 'vornehmlich', 'in', 'großbritannien,', 'vereinzelt', 'auch', 'in', 'australien', 'und', 'irland.']",20,20
"['O', 'O', 'O', 'O', 'O', 'B-Facility', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['es', 'gibt', 'verschiedene', 'typen', 'von', 'brauereien,', 'die', 'unterschiedliche', 'sorten', 'bier', 'nach', 'verschiedenen', 'verfahren', 'mit', 'unterschiedlichem', 'automatisierungsgrad', 'herstellen.']",17,17
