ner_tags,tokens,lnt,lnn
"['B-OtherPER', 'I-OtherPER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['helkiah', 'crooke', '(1576', '–', '1648)', 'was', 'court', 'physician', 'to', 'king', 'james', 'i', 'of', 'england.']",14,14
"['B-OtherPER', 'I-OtherPER', 'I-OtherPER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['bruce', 'lee', 'rothschild', '(born', 'august', '26,', '1941)', 'is', 'an', 'american', 'mathematician', 'and', 'educator,', 'specializing', 'in', 'combinatorial', 'mathematics.']",17,17
"['B-OtherPER', 'I-OtherPER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['oliver', 'kruuda', '(born', '27', 'february', '1967', 'in', 'põlva)', 'is', 'an', 'estonian', 'entrepreneur', 'and', 'sport', 'figure.']",15,15
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-OtherPER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['with', 'the', 'help', 'of', 'his', 'cousin', 'marganus,', 'cunedagius', 'took', 'over', 'the', 'kingdom', 'from', 'cordelia', 'and', 'ruled', 'half', 'of', 'it.']",19,19
"['B-OtherPER', 'I-OtherPER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['vesna', 'vulović', '(serbian', 'cyrillic:', 'весна', 'вуловић,', 'pronounced', '[ʋêsna', 'ʋûːloʋitɕ];', '3', 'january', '1950', '–', '23', 'december', '2016)', 'was', 'a', 'serbian', 'flight', 'attendant', 'who', 'holds', 'the', 'guinness', 'world', 'record', 'for', 'surviving', 'the', 'highest', 'fall', 'without', 'a', 'parachute:', '10,160', 'm', '(33,330', 'ft;', '6.31', 'mi).']",41,41
"['B-OtherPER', 'I-OtherPER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['david', 'wechsler', '(;', 'january', '12,', '1896', '–', 'may', '2,', '1981)', 'was', 'a', 'romanian-american', 'psychologist.']",14,14
"['B-OtherPER', 'I-OtherPER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['hans', 'mottek', '(26', 'september', '1910,', 'posen', '-', '24', 'october', '1993,', 'berlin)', 'was', 'one', 'of', 'the', 'most', 'important', 'economic', 'historians', 'of', 'the', 'ddr', '(east', 'germany).']",24,24
"['B-OtherPER', 'I-OtherPER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['andré', 'lefaur', '(25', 'july', '1879', '–', '5', 'december', '1952)', 'was', 'a', 'french', 'film', 'and', 'theatre', 'actor,', 'notably', 'working', 'several', 'times', 'with', 'director', 'sacha', 'guitry.']",24,24
"['B-OtherPER', 'I-OtherPER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['antonio', 'vidal-puig', '(born', 'valencia,', 'spain', 'june', '12,', '1962)', 'is', 'a', 'spanish', 'medical', 'doctor', 'and', 'scientist', 'who', 'works', 'as', 'a', 'professor', 'of', 'molecular', 'nutrition', 'and', 'metabolism', 'at', 'the', 'university', 'of', 'cambridge', '(uk),', 'best', 'known', 'for', 'advancing', 'the', 'concept', 'that', 'pharmacological', 'targeting', 'of', 'brown', 'fat', 'may', 'serve', 'to', 'treat', 'overweight', 'and', 'obesity', 'in', 'affected', 'individuals,', 'as', 'well', 'as', 'for', 'introducing', 'the', 'concept', 'of', 'adipose', 'tissue', '""expandability""', 'as', 'an', 'important', 'factor', 'in', 'the', 'pathogenesis', 'of', 'insulin', 'resistance', 'in', 'the', 'context', 'of', 'positive', 'energy', 'balance.']",81,81
"['B-OtherPER', 'I-OtherPER', 'I-OtherPER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['rafael', 'caro', 'quintero', '(born', 'october', '24,', '1952)', 'is', 'a', 'mexican', 'drug', 'lord', 'who', 'co-founded', 'the', 'now-disintegrated', 'guadalajara', 'cartel', 'with', 'miguel', 'ángel', 'félix', 'gallardo', 'and', 'other', 'drug', 'traffickers', 'in', 'the', 'late', '1970s.']",31,31
