ner_tags,tokens,lnt,lnn
"['B-HumanSettlement', 'I-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['مرثر', 'تیدویل', '(انگلیسی:', 'merthyr', 'tydfil؛', '؛', 'ویلزی:', 'merthyr', 'tudful', '[ˈmɛrθɨr', 'ˈtɨdvɨ̞l])', 'یک', 'شهرک', 'بزرگ', 'و', 'منطقهٔ', 'مسکونی', 'در', 'ولز', 'است', 'که', 'در', '۳۷', 'کیلومتری', 'شمال', 'کاردیف', 'واقع', 'شده\u200cاست.']",28,28
"['B-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['پیترسفیلد', '(به', 'انگلیسی:', 'petersfield)', 'یک', 'منطقهٔ', 'مسکونی', 'در', 'انگلستان', 'است', 'که', 'در', 'جنوب', 'شرقی', 'انگلستان', 'واقع', 'شده\u200cاست.']",17,17
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['هُندوراس', '(به', 'اسپانیایی:', 'honduras)', 'با', 'نام', 'رسمی', 'جمهوری', 'هندوراس', '(به', 'اسپانیایی:', 'república', 'de', 'honduras)', 'کشوری', 'است', 'در', 'شمال', 'آمریکای', 'مرکزی.']",20,20
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['سلطنت', 'سلاجقه', 'بزرگ', 'که', 'پایگاه\u200cشان', 'خراسان', 'بود', 'تا', 'سال', '۵۵۲', 'هجری', 'قمری', 'برقرار', 'بود،', 'و', 'بعدها', 'در', 'نتیجه', 'بروز', 'اختلافات', 'بر', 'سر', 'جانشینی', 'میان', 'شاهزادگان،', 'اقتدار', 'مرکزی', 'از', 'میان', 'می\u200cرود،', 'و', 'سرانجام', 'سلطنت', 'آنان', 'به', 'چند', 'قسمت', 'تجزیه', 'و', 'تقسیم', 'می\u200cگردد:', 'بدین', 'ترتیب', 'سلجوقیان', 'سوریه', 'تا', 'اوایل', 'قرن', 'ششم', 'و', 'سلجوقیان', 'عراق', 'و', 'کرمان', 'تا', 'اواخر', 'سده', 'ششم', 'و', 'سلجوقیان', 'آسیای', 'کوچک', 'تا', 'پایان', 'سده', 'هفتم', 'در', 'قلمرو', 'خود', 'حکمرانی', 'داشتند.']",71,71
"['O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'O', 'O']","['با', 'وجود', 'اینکه', 'جامعه', 'بین\u200cالمللی', 'الحاق', 'اورشلیم', 'شرقی', 'را', 'غیرقانونی', 'دانسته', 'و', 'اورشلیم', 'شرقی', 'را', 'منطقهٔ', 'فلسطینی', 'اشغال', 'شده', 'توسط', 'اسرائیل', 'در', 'نظر', 'می\u200cگیرد،', 'اسرائیل', 'دست', 'بالا', 'را', 'در', 'حاکمیت', 'بر', 'اورشلیم', 'غربی', 'دارد.']",34,34
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'O', 'O', 'O', 'O', 'O']","['در', 'دهه', '۱۹۳۰', 'میلادی', 'طی', 'کاوش\u200cهای', 'باستان\u200cشناسی', 'بقایایی', 'از', 'زیگورات', 'اور', 'در', 'این', 'منطقه', 'کشف', 'شد.']",16,16
"['B-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['پواتیه', '(به', 'فرانسوی:', 'poitiers)', 'نام', 'شهری\u200cاست', 'بر', 'کرانهٔ', 'رود', 'کلن', 'و', 'در', 'باختر', 'کشور', 'فرانسه.']",15,15
"['B-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'O', 'O', 'O']","['آنتورپ', '(به', 'هلندی:', 'antwerpen)', '(به', 'فرانسوی:', 'anvers)', 'بزرگترین', 'و', 'پرجمعیت', 'ترین', 'شهر', 'کشور', 'بلژیک', '،', 'یکی', 'از', 'کلانشهرهای', 'اروپا', 'و', 'مرکز', 'استان', 'آنتورپ', 'در', 'بلژیک', 'است.']",26,26
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'O']","['مَسجِدسُلِیمان', 'شهری', 'در', 'استان', 'خوزستان', 'و', 'مرکز', 'شهرستان', 'مسجدسلیمان', 'است.']",10,10
"['O', 'O', 'O', 'O', 'B-HumanSettlement', 'O', 'O', 'B-HumanSettlement', 'O']","['این', 'شهر', 'مرکز', 'استان', 'لیبرتس', 'و', 'بخش', 'لیبرتس', 'است.']",9,9
