ner_tags,tokens,lnt,lnn
"['O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'I-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['o', 'império', 'marata', '(em', 'marata:', 'मराठा', 'साम्राज्य;', 'romaniz.:', 'marāṭhā', 'sāmrājya)', 'foi', 'um', 'estado', 'hindu', 'localizado', 'geograficamente', 'na', 'atual', 'índia,', 'que', 'existiu', 'entre', '1674', 'e', '1818.']",25,25
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'I-HumanSettlement', 'I-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['guayaquil', 'ou', 'guaiaquil', '(em', 'espanhol:', 'guayaquil;', 'oficialmente', 'santiago', 'de', 'guayaquil)', 'é', 'a', 'maior', 'cidade', 'do', 'equador,', 'seguida', 'pela', 'capital,', 'quito.', 'é', 'também', 'o', 'principal', 'porto', 'do', 'país.']",27,27
"['O', 'O', 'O', 'B-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['rishikesh', '(em', 'hindi:', 'ऋषिकेश;', 'em', 'sânscrito:', 'हृषीकेश)', 'é', 'uma', 'cidade,', 'conselho', 'municipal', 'e', 'uma', 'taluca', 'no', 'distrito', 'de', 'dehradun,', 'no', 'estado', 'indiano', 'de', 'uttarakhand.']",24,24
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['imperador', 'jarasanda', 'de', 'mágada.', 'o', 'antigo', 'reino', 'de', 'mágada', '(मगध)', 'formava', 'um', 'dos', '16', 'mahajanapadas', '(""grandes', 'países"",', 'em', 'sânscrito).', 'o', 'coração', 'deste', 'reino', 'era', 'uma', 'porção', 'de', 'bihar', 'que', 'fica', 'a']",31,31
"['O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['ximelá,', 'simla', 'ou', 'shimla', '(em', 'hindi:', 'शिमला)', 'é', 'a', 'capital', 'e', 'a', 'maior', 'cidade', 'do', 'estado', 'do', 'himachal', 'pradexe,', 'no', 'noroeste', 'da', 'índia.', 'é', 'a', 'sede', 'do', 'distrito', 'homónimo', 'e', 'o', 'principal', 'centro', 'de', 'turismo,', 'comércio,', 'educação', 'e', 'cultura', 'das', 'regiões', 'montanhosas', 'do', 'estado.']",44,44
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O']","['parte', 'indiana', 'do', 'punjabe.', 'a', 'antiga', 'capital', 'do', 'estado,', 'lahore,', 'ficou', 'em', 'território', 'paquistanês.', 'em', '1966,', 'o', 'punjabe', 'foi', 'dividido,', 'ficando', 'chandigarh', 'a', 'capital', 'de', 'dois', 'estados:', 'o']",28,28
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'I-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['nova', 'deli,', 'nova', 'delhi,', 'nova', 'déli', 'ou', 'nova', 'délhi', '(em', 'inglês,', 'new', 'delhi,', 'pronunciada', '[new', 'delhi]', '(escutar?·info);', 'em', 'hindi:', 'नई', 'दिल्ली;', 'romaniz.:', 'naī', 'dillī;', 'em', 'panjabi:', 'ਨਵੀਂ', 'ਦਿੱਲੀ,', 'translit.:', 'navī̃', 'dillī;', 'em', 'urdu:', 'نئی', 'دلی,', 'translit.:', 'naī', 'dillī;', 'em', 'inglês:', 'new', 'delhi)', 'é', 'a', 'capital', 'da', 'índia.', 'com', 'uma', 'área', 'total', 'de', '42,7', 'km²,', 'nova', 'deli', 'situa-se', 'dentro', 'da', 'metrópole', 'do', 'mesmo', 'nome,', 'e']",64,64
"['O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['o', 'império', 'marata', '(em', 'marata:', 'मराठा', 'साम्राज्य;', 'romaniz.:', 'marāṭhā', 'sāmrājya)', 'foi', 'um', 'estado', 'hindu', 'localizado', 'geograficamente', 'na', 'atual', 'índia,', 'que', 'existiu', 'entre', '1674', 'e', '1818.']",25,25
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['amedabade', 'ou', 'amadabade', '(em', 'gujarati:', 'અમદાવાદ;', 'romaniz.:', 'amdāvād;', 'em', 'hindi:', 'अहमदाबाद;', 'romaniz.:', 'ahmadābād)', 'é', 'a', 'maior', 'cidade', 'e', 'antiga', 'capital', 'de', 'gujarat,', 'na', 'índia.', 'é', 'a', 'sede', 'administrativa', 'do', 'distrito', 'de', 'amedabade', 'e']",33,33
"['O', 'O', 'O', 'B-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['deradum', '(em', 'hindi:', 'देहरादून;', 'romaniz.:', 'dehradun)', 'ou,', 'na', 'sua', 'forma', 'em', 'português,', 'é', 'a', 'capital', 'do', 'estado', 'indiano', 'de', 'utaracanda', 'desde', '2000.', 'está', 'localizada', 'no', 'vale', 'doon,', 'no', 'sopé', 'dos', 'himalaias,', 'aninhada', 'entre', 'o', 'rio', 'ganges', 'a', 'leste', 'e', 'o', 'rio', 'jamuna', 'a', 'oeste.', 'a', 'cidade', 'é', 'conhecida', 'por', 'sua', 'paisagem', 'pitoresca', 'e', 'clima', 'ligeiramente', 'mais', 'ameno', 'e']",58,58
