ner_tags,tokens,lnt,lnn
"['B-Artist', 'I-Artist', 'I-Artist', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['david', 'lee', 'roth,', 'född', '10', 'oktober', '1954', 'i', 'bloomington', 'i', 'indiana', '(men', 'huvudsakligen', 'uppväxt', 'i', 'los', 'angeles-området', 'i', 'kalifornien),', 'är', 'en', 'amerikansk', 'musiker', 'och', 'sångare,', 'mest', 'känd', 'som', 'frontman', 'i', 'van', 'halen', 'mellan', '1974', 'och', '1985.']",36,36
"['B-Artist', 'I-Artist', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['johan', 'nordhagen,', 'född', '23', 'mars', '1856', 'i', 'ringsakers', 'kommum,', 'död', '28', 'augusti', '1956,', 'var', 'en', 'norsk', 'konstnär.']",17,17
"['B-Artist', 'I-Artist', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['walter', 'fyrst,', 'född', 'fürst', '6', 'juli', '1901', 'i', 'kristiania', '(nuvarande', 'oslo),', 'död', 'där', '22', 'februari', '1993,', 'var', 'en', 'norsk', 'filmregissör', 'och', 'manusförfattare.']",22,22
"['B-Artist', 'I-Artist', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['claude', 'monet,', 'född', '14', 'november', '1840', 'i', 'paris,', 'död', '5', 'december', '1926', 'i', 'giverny', 'i', 'eure,', 'var', 'en', 'fransk', 'konstnär.']",20,20
"['O', 'B-Artist', 'I-Artist', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['gunhild', 'lottie', 'ejebrant,', 'född', '17', 'maj', '1944', 'i', 'högalids', 'församling', 'i', 'stockholm,', 'är', 'en', 'svensk', 'skådespelare.']",16,16
"['B-Artist', 'I-Artist', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['james', 'randi,', 'född', '7', 'augusti', '1928', 'i', 'toronto,', 'ontario,', 'död', '20', 'oktober', '2020', 'i', 'plantation,', 'florida,', 'var', 'en', 'kanadensisk-amerikansk', 'illusionist,', 'skribent,', 'föreläsare', 'och', 'skeptiker.']",24,24
"['O', 'O', 'O', 'B-Artist', 'I-Artist', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['philip', 'st.', 'john', 'basil', 'rathbone,', 'född', '13', 'juni', '1892', 'i', 'johannesburg,', 'sydafrika,', 'död', '21', 'juli', '1967', 'i', 'new', 'york,', 'var', 'en', 'brittisk', 'skådespelare.']",23,23
"['B-Artist', 'I-Artist', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['stephen', 'boyd,', 'född', '4', 'juli', '1931', 'i', 'glengormley,', 'county', 'antrim,', 'död', '2', 'juni', '1977', 'i', 'northridge,', 'los', 'angeles,', 'kalifornien,', 'var', 'en', 'nordirländsk-amerikansk', 'skådespelare.']",23,23
"['O', 'B-Artist', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['agnetha', 'fältskog,', 'född', '5', 'april', '1950', 'i', 'jönköping,', 'är', 'en', 'svensk', 'popsångerska,', 'pianist,', 'kompositör,', 'textförfattare', 'och', 'musikproducent.']",17,17
"['B-Artist', 'I-Artist', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['vladimir', 'oravsky,', 'född', '22', 'januari', '1947', 'i', 'tjeckoslovakien,', 'är', 'en', 'svensk', 'författare', 'och', 'regissör.']",14,14
