ner_tags,tokens,lnt,lnn
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'I-HumanSettlement', 'O', 'O', 'O', 'O', 'O']","['до', 'його', 'складу', 'ввійшли', 'десять', 'колін', 'ізраїлевих,', 'а', 'царем', 'оголошений', 'єровоам', 'i.', 'історія', 'північно-ізраїльського', 'царства', 'описана', 'в', 'другій', 'книзі', 'царів.']",20,20
"['O', 'O', 'O', 'B-HumanSettlement', 'I-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['громадянська', 'війна', 'в', 'стародавньому', 'римі', '(49—45', 'роки', 'до', 'н.', 'е.)', '—', 'боротьба', 'за', 'владу', 'між', 'гаєм', 'юлієм', 'цезарем', 'та', 'гнеєм', 'помпеєм', 'великим', 'і', 'його', 'синами,', 'що', 'зрештою', 'призвела', 'до', 'остаточного', 'занепаду', 'римської', 'республіки.']",33,33
"['O', 'B-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['місто', 'сана', 'виділено', 'в', 'окрему', 'адміністративну', 'одиницю', '—', 'аманат', '(муніципалітет)', 'ель-асіма', '(араб.', 'محافظات', 'اليمن\u200e).']",14,14
"['B-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['білоксі', '(англ.', 'biloxi)', '—', 'місто', '(англ.', 'city)', 'в', 'сша,', 'в', 'окрузі', 'гаррісон', 'штату', 'міссісіпі.']",14,14
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement']","['місто', 'пережило', 'в', 'середині', 'xix', '—', 'на', 'початку', 'xx', 'століть', '«золоту', 'еру»', '—', 'розвивалася', 'промисловість,', 'розбудовувалась', 'міська', 'інфраструктура,', 'розквітла', 'культура,', 'зокрема', 'тут', 'у', '1882', 'році', 'відкрили', 'перший', 'український', 'професійний', 'театр,', 'засновником', 'якого', 'був', 'марко', 'лукич', 'кропивницький.']",36,36
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'O', 'O', 'B-HumanSettlement']","['іберська', 'культура', 'разом', 'із', 'фінікійськими,', 'давньогрецькими,', 'кельтськими', 'та', 'карфагенськими', 'поселеннями', 'розвивались', 'на', 'півострові', 'до', 'тих', 'пір,', 'поки', 'він', 'не', 'потрапив', 'під', 'владу', 'риму', 'близько', '200', 'року', 'до', 'н.', 'е.,', 'після', 'чого', 'регіон', 'був', 'розділений', 'на', '2', 'римські', 'провінції', '—', 'ближня', 'іспанія', 'та', 'дальня', 'іспанія.']",44,44
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'O', 'O', 'O', 'O']","['до', '1920', 'місто', 'називалося', 'єкатеринодар', 'на', 'честь', 'імператриці', 'катерини', 'ii,', 'після', 'підпорядкування', 'рсфср', 'було', 'перейменоване', 'у', 'краснодар', 'на', 'честь', 'червоної', 'армії.']",21,21
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement']","['агрідже́нто,', 'аґрідженто', '(італ.', 'agrigento,', 'сиц.', 'girgenti)', '—', 'місто', 'та', 'муніципалітет', 'в', 'італії,', 'у', 'регіоні', 'сицилія,', 'столиця', 'провінції', 'агрідженто.']",18,18
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'O', 'O', 'O', 'O', 'O']","['чонга́р', '—', 'село', 'в', 'україні,', 'у', 'генічеській', 'міській', 'громаді', 'генічеського', 'району', 'херсонської', 'області,', 'на', 'півострові', 'чонгар,', 'є', 'найбільшим', 'населеним', 'пунктом', 'півострова', 'і', 'останнім', 'селом', 'на', 'автошляху', 'міжнародного', 'значення', 'м18e105', '(харків', '—', 'сімферополь)', 'перед', 'чонгарським', 'мостом', 'до', 'автономної', 'республіки', 'крим.']",39,39
"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HumanSettlement', 'I-HumanSettlement', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['3', 'жовтня', '1990', 'р.,', 'згідно', 'з', '«альянсом»,', 'за', 'який', 'проголосувала', 'більшість', 'населення', 'східної', 'німеччини,', 'німецькі', 'землі', 'було', ""об'єднано"", 'в', 'єдину', 'федеративну', 'державу', 'німеччину.']",23,23
